(0.702707, -0.129500, ping)
(0.587968, -0.051596, ping)
(-0.603438, 0.357426, ping)
(0.379615, 0.489524, ping)
(-0.493628, -0.690209, ping)
(0.564607, -0.096831, ping)
(0.187652, 0.271258, ping)
(0.450478, 0.618444, ping)
(0.506321, 0.443822, ping)
(0.236334, 0.333835, ping)
(0.669609, -0.809621, ping)
(0.057883, 0.802785, ping)
(0.038795, -0.809441, ping)
(0.738868, -0.596997, ping)
(0.068286, -0.239010, ping)
(0.456213, -0.510176, ping)
(-0.340187, -0.196128, metal)
(0.719660, 0.034837, metal)
(-0.340755, -0.028687, metal)
(0.753725, 0.476954, metal)
(0.262550, -0.500685, metal)
(-0.102914, -0.619888, metal)
(0.641461, 0.289339, metal)
(-0.238677, -0.547512, metal)
(0.105775, -0.697821, metal)
(0.427874, -0.846863, metal)
(0.512905, 0.173912, metal)
(-0.422911, -0.728807, metal)
(0.727592, 0.265268, metal)
(0.190708, -0.064725, metal)
(-0.106873, 0.671071, metal)
(0.257919, 0.256534, metal)
(0.644284, -0.537961, metal)
(-0.267672, 0.762947, metal)
(-0.024513, 0.444797, metal)
(-0.157079, -0.685935, metal)
(0.338730, -0.065628, metal)
(0.005967, -0.393755, metal)
