(0.720397, -0.972794, PING)
(-0.019780, 0.214966, PING)
(0.189605, 0.341990, PING)
(-0.141942, 0.114003, PING)
(0.414619, 0.439685, PING)
(0.254694, 0.757743, PING)
(-0.487057, -0.731609, PING)
(0.599555, 0.047615, PING)
(0.257075, 0.524102, PING)
(0.380641, 0.256353, PING)
(-0.715144, 0.534097, METAL)
(0.086624, 0.514457, METAL)
(0.742586, -0.717517, METAL)
(-0.013236, 0.583734, METAL)
(0.427300, 0.556769, METAL)
(0.773366, -0.702301, METAL)
(-0.445408, -0.463728, METAL)
(0.718927, 0.232192, METAL)
(0.763322, -0.815773, METAL)
(-0.388795, 0.787175, METAL)
(-0.219247, 0.362418, METAL)
(0.377087, 0.550656, METAL)
(0.630643, 0.562573, METAL)
(0.782749, 0.801228, METAL)
